User-ID,Location,Age,username,passwd
220029,"powder springs, georgia, usa",,g9ob6JwyzEwD220029,RF9IxZbWOzt
220030,"irvine, pennsylvania, usa",68.0,QkJM8IZtiOY5220030,IeYbz7T2mg8
220031,"halifax, nova scotia, canada",,sWpxIXHWk8Vl220031,FhiqDJz#JQp
220032,"rijeka, n/a, croatia",,K8hJFarOOTJB220032,NYK32wgGPp49Y
220033,"zg, croatia, croatia",,pwYMtVKPnMyo220033,JeCSQzyL#L
220034,"mobile, alabama, usa",,OkbETZUA6h4J220034,vVonngXlsJr
220035,"belgrade, serbia, yugoslavia",29.0,P8hKYy5Cgirj220035,dTMAeNyY23iQ
220036,"whitney, texas, usa",64.0,Sc57jHM9g3KJ220036,XNiuZwTNYDCc
220037,"rijeka, n/a, croatia",38.0,BvHPVmNYRTVA220037,YpeFicbTX9
220038,"kolkata, west bengal, india",,WYVn7fg7A1er220038,lVBrQWp9IZ1
220039,"mumbai (bombay), maharashtra, india",43.0,4pIGafMzfc2w220039,sY7YhBg@vVvU
220040,"mumbai (bombay) india, maharashtra, india",,j2rscwPvk32W220040,sTEnOCgSYmbd
220041,"mumbai, indiana, india",24.0,SRefMbtImddF220041,lu4FFZc7r
220042,"philadelphia, pennsylvania, usa",66.0,D9QXppT7PlOX220042,Qz4k5rTaN
220043,"jakarta, n/a, indonesia",24.0,h6ipOYk7VcgK220043,K4uuImnK6
220044,"calcutta, west bengal, india",,Two9oXCsonTH220044,NkNdltxkv
220045,"vns, u.p, india",,meehz37OjXKr220045,tfUZcDVc5E
220046,"rampura phul, punjab, india",23.0,SZOd6W47Ksnc220046,B2NnlwxT#
220047,"san jose, california,",26.0,baBqtM9l7WTE220047,o1B7sjYogQ
220048,"san jose, california, usa",25.0,48EwYJr69xcp220048,BOd#txdAL
220049,"san jose, campania, usa",49.0,SAdakcgGHUIQ220049,37wF42FrsnZ36
220050,"gurgaon, haryana, india",,c6dhBsY5Nruo220050,2p2fSpkPyqjt
220051,"houston, texas, usa",44.0,JdQv2F6zE6md220051,9A7utdojar
220052,"kuala lumpur, selangore, malaysia",,692DySfjGLoR220052,QUiDu5jiST
220053,"kuala lumpur, kuala lumpur, malaysia",,eiy3ZbRvgyHj220053,FlrIFu@ZWZ
220054,"bangalore, karnataka, india",30.0,IHTxKQzql9xi220054,QhAN#DKWIo
220055,"san leandro, california, usa",,kq3ANacgoLrk220055,dvPXBnZb7l4n
220056,"port coquitlam, british columbia, canada",24.0,yKRLWvkw8rJo220056,gwGIbfL71OXO
220057,"s. mamede infesta, porto, portugal",22.0,CMHhoM69SqBD220057,oU4p3QSZs@Ab
220058,"madrid, n/a, spain",29.0,lTOp8Xwxee76220058,StH@5aoL6L1
220059,"berlin, berlin, germany",25.0,WzeVCuTTpYvB220059,q3U57FaDao
220060,"nuernberg, bayern, germany",37.0,OLXwQQc8s7AM220060,H2dCL95jZk#
220061,"stockholm, stocholm, sweden",39.0,th3mZOIXVPK2220061,#73wbm97PF4
220062,"berlin, berlin, germany",44.0,uiVVyDg1nfhT220062,t#vPJoHLh5q
220063,"savonlinna, itä-suomi, finland",,xLcw7q1vopjt220063,5Vnndv#sNgflf
220064,"acqui terme  (al), piemonte, italy",,SVB8pgcJiFB3220064,tq8nG3CWKY
220065,"monkton, maryland, usa",62.0,9WXcXQCORq1K220065,gtIjAJWmJ
220066,"istanbul, n/a, turkey",48.0,XCdKcwf2wDaw220066,TTb51NyqPMD72
220067,"barcelona, barcelona, spain",35.0,XShvyj33FyoB220067,sbEWCg@4x
220068,"auburn, washington, usa",43.0,FDEPOSWnBxZm220068,iqyyrs4bI
220069,"beijing, beijing, china",,lscOcFHRvOnx220069,N1WrDkM@v
220070,"livermore, california, usa",,UumxzQLkxPJ8220070,4dxoGy@NG
220071,"richmond, virginia, usa",,Bvy5WHJCI7n5220071,hIC#xSj9aY8
220072,"santander, cantabria, spain",27.0,fHZmGVBkaZnW220072,kRIxnsJmsk6LZ
220073,"vancouver, washington, usa",,vT2a1VVocIt6220073,89VbpJT54b
220074,"herdecke, nordrhein-westfalen, germany",26.0,5tFZ5zDPgjsq220074,XgxZRvHeYyfR
220075,"uppsala, n/a, sweden",,KdhcEIlLBxsJ220075,BXecxjvNRfp@
220076,"lusby, maryland, usa",57.0,t8W8TrxRrB2l220076,rJCmI@uAVpUtl
220077,"uppsala, uppsala, sweden",38.0,VIQlILeh6IS2220077,SlZDsmEQt1
220078,"podgorica, montenegro, yugoslavia",30.0,qNdmUMFLY3HI220078,a16eDDNrAI
220079,"frankfurt / main, hessen, germany",,UlZrD6Rvdorg220079,k4goTHeJo4#Cn
220080,"stuttgart, baden-wuerttemberg, germany",,qPE3WVgwerpl220080,Uq8ydLyEbr
220081,"westerburg, rheinland-pfalz, germany",34.0,oeNRErFSjR4F220081,@NILEVh#YB
220082,"hamburg, hamburg, germany",20.0,lGolOqcLjko9220082,htedCMo6yCqW
220083,"dortmund, nordrhein-westfalen, germany",43.0,K5VIZR5xSDdz220083,bAKKqjHhkU
220084,"hamburg, hamburg, germany",29.0,vnObguzLB2GA220084,NIu@77cdt
220085,"slangerup, n/a, denmark",,HSxBZt5COhVq220085,Jt6FhyhpV55b4
220086,"utrecht, utrecht, netherlands",,OoEAu5y4mSpe220086,Q1DnPYKyRbBi
220087,"aachen, nordrhein-westfalen, germany",,U7Rwvhoi3XJV220087,1NjnXP9gV
220088,"zarrendorf, mecklenburg-vorpommern, germany",39.0,qtxpkv64b11e220088,DrI9EjwcSHAf
220089,"colorado springs, colorado, usa",,lthw2khF9E53220089,pKJrllgxJlG
220090,"chicago, illinois, usa",23.0,fa3aWAhBxBPG220090,g@#Y9E9UW
220091,"san diego, california, usa",,Q2933b7vOUT5220091,TwOlA1duftdrl
220092,"koblenz, myk/ko, germany",,HX1z8NyIBLIM220092,zNwN8e6Y4I
220093,"roma, roma, italy",,TGehpr5ltV5T220093,iDv3wz1c8q
220094,"copenhagen, n/a, denmark",45.0,RanBr5UtPwOY220094,ofGwv1K2wQn
220095,"portland, oregon, usa",,shyceSAt1inY220095,qJ5dLiWxb
220096,"kirkkonummi, lansi-uusimaa, finland",31.0,txbiVjLH8E3x220096,g#YC9wYyM
220097,"austin, texas, usa",31.0,7ZzpCwJ1Owvo220097,8SGyybN@OiFc
220098,"hamburg, hamburg, germany",20.0,uAn7Kp6MQFwP220098,UlAawIrm7Vy
220099,"toronto, ontario, canada",1.0,XqscGfrkJ1Lm220099,QfC5FDPWb
220100,"mühldorf, bayern, germany",24.0,7lgX9xND56dh220100,6T4K1aGAJjPj
220101,"sydney, new south wales, australia",26.0,1Tc8NRWsLAa6220101,S23tKo4rW
220102,"madrid, madrid, spain",40.0,OgGrhkYP2r9C220102,uH9e9QKF#5
220103,"brisbane, queensland, australia",51.0,QCwbfp6u5fhb220103,3cirWxZ#LJbUg
220104,"bologna, emilia romagna, italy",,VKMHUDW9OEFN220104,jyC9nMS5wa
220105,"roma, lazio, italy",1.0,XiAHssmWThy3220105,FxUwqVk8Q@XE
220106,"porto alegre, rio grande do sul, brazil",58.0,w4CC6jjQiy91220106,E9jrMp@PCh@I5
220107,"barcelona, cataluña, spain",31.0,3QUT1NQXrYHV220107,wEDmcpSZpa7Sw
220108,"bayamon, puerto rico, vietnam",,xdZ2DS6HKKXo220108,nLKZVwEvvcd
220109,"valrico, florida, usa",27.0,d3rf6dtWTvmK220109,tUQAKYY2Sq
220110,"modesto, california, usa",36.0,JjzHzSXcQCcC220110,UQGspSExFJ
220111,"bangalore, kansas, india",,3u6xUZg2exsF220111,3Ps7J9gl8rhSc
220112,"capital federal, buenos aires, argentina",14.0,x5T2M3WIl68E220112,tdCQ9T4gqH
220113,"charlotte, north carolina, usa",,bpIfwunUNZ8S220113,NaOMhCktkq4
220114,"san francisco, california, usa",32.0,5aXhkGBMVGAo220114,#yrnA@WQAV
220115,"chambery, savoie, france",29.0,pCMVqQyFvU43220115,JEUSoIkff
220116,"liuzhou, guangxi, china",,NLbvXRf6VIuF220116,jFY8mWswQNyw
220117,"martorell, barcelona, spain",37.0,HEnw1IVpJKYD220117,Db2G5mggM9P
220118,"mainz, rheinland-pfalz, germany",,ycZTCi7wom1e220118,Rg@vAa5LGi
220119,"oakland, california, usa",,4bP99EUXrxuv220119,EeUfC5f1hVc9
220120,"vienna, vienna, austria",,WCLcIcQPYNV4220120,nnswu1apdWK
220121,"new hampton, new york, usa",,DFjgUu2ay5ZS220121,L39wn3vhm@
220122,"bucharest, ilfov,",,vKPFrlu3grZi220122,D6rl1qOmuu
220123,"longmont, colorado, usa",59.0,abAMKu3YuFFN220123,@LCW63y6u
220124,"harrow, ontario, canada",54.0,8XGaqif54WT2220124,6IQzpPhxSvm
220125,"lucerne, california, usa",59.0,D4Drc7fqprae220125,me5wc317LXa
220126,"payyanur, kerala, india",22.0,VvnKqW27hodG220126,SaN#fBpCEDY
220127,"melbourne, victoria, australia",,rhX9IoZQTJei220127,EkUuweJF@or5
220128,"greater boston, massachusetts, usa",22.0,UXMp7LbBQWuq220128,eQfB8b3Vo@dW
220129,"bastogne, luxembourg, belgium",17.0,muyUXpLFxEvP220129,r#BruVnWD48
220130,"manama, manama, bahrain",35.0,qXFReQTzn4vT220130,77zeErd#R
220131,"miami, florida, usa",,ZwXi9Rjg7WMY220131,XX#O2sxUM5cQ
220132,"reggio emilia, emilia romagna, italy",36.0,MHy2Q1XcPa3N220132,brocv17nGvdgF
220133,"stockholm, stockholm, sweden",28.0,V8sSWYo1tfsK220133,vHQbspruU3
220134,"palo alto, california, usa",,NUsMC6kpZrKu220134,ZOqRy#fcDxVae
220135,"greene, , usa",,M82jbaEMR3JP220135,JvgdQtJ2M8
220136,"santa barbara, california, usa",,Xcun6dw7fuUc220136,xCbq7xRojc
220137,"el segundo, california, usa",,9Wf5XtDqU5BW220137,DFcrpRrBNfcxc
220138,"hermitage, tennessee, usa",38.0,IUK6ImKBH1kn220138,ylcwWO17m9
220139,"lisboa, lisboa, portugal",53.0,KbnAmkj29SXb220139,wIPlDgPiyCQIO
220140,"pinole, california, usa",15.0,t6jFybSp6KIe220140,uS3sp7RL9ivy
220141,"santa cruz, california, usa",44.0,1I81QN4UGVbJ220141,Ly46t9NrBb6
220142,"santa cruz, california, usa",74.0,wsaYI4SAmNfg220142,XdsCfWabmQ
220143,"north hollywood, california, usa",,aOcdoGHAE4iv220143,uvwjWmMF6N1a
220144,"santa fe, new mexico, usa",46.0,puH71eMsm5Lv220144,pV39nbEud6ZXe
220145,"santa fe, new mexico, usa",,3ARTZ9orjP7N220145,Wqtf#T99Ew558
220146,"san diego, california, usa",65.0,gZ2GEx1UBlFn220146,WXLmJ1spukLN
220147,"fort bragg, california, usa",63.0,6KRQ1WSlhMJz220147,xExgnVGtfjkW
220148,"harbor city, california, usa",62.0,rMBgjLL1rNiI220148,Ce6Ai2B#Z
220149,"buffalo, new york, usa",53.0,DlbHfX3cMB8p220149,KGL7V6wI9Olx
220150,"henderson, nevada, usa",58.0,H9vzmsNOThFI220150,dXWQ#ZzIYx
220151,"reichenbach, baden-wuerttemberg, germany",32.0,OstHuykDz16s220151,FoZ3nGmE@
220152,"el molar, madrid, spain",41.0,faPlRFfp6FGY220152,iYgE@hU#O7FJ
220153,"mcdonough, georga, usa",52.0,NSJaEIihMziE220153,p@4l5Q4QOjh
220154,"mobile, alabama, usa",,vulE7VAJoKDI220154,PV@iXZr2vfY
220155,"malaga, n/a, spain",35.0,97v5PXxdqO3o220155,9PyxXkUITO
220156,"barcelona, barcelona, spain",34.0,T3reA7jIl5AW220156,DDBIVqFmRO
220157,"mexico, ,",47.0,rni5YuGtMZ8V220157,dnSEQf5vZF
220158,"mena, arkansas, usa",,61qizvO1hcfB220158,mMXBRhu#raX
220159,"milano, lombardia, italy",,ASESXcZvmDN9220159,zuDVJGzliL336
220160,"grand rapids, mi, michigan, usa",59.0,IvbT1qNY33Uo220160,5@bd7jm6@Ae
220161,"north pole, alaska, usa",40.0,nTP5EO9XStK9220161,gWnS#iNxV
220162,"aurora, illinois, usa",,dxcNTaLBjePv220162,uqdwZTHjh
220163,"valinhos, sao paulo, brazil",67.0,kGR2JkuUP2hS220163,GklIwBkPHySk
220164,"whippany, new jersey, usa",,IpmV2eEjXUZU220164,#i9QqqGqCU4id
220165,"milan, n/a, italy",30.0,AgSEnjNjADqF220165,N2Uz4xCL@
220166,"chula vista, california, usa",,hZZQMAtapLb4220166,M29GyGWDEH5i
220167,"whitstable, kent, united kingdom",48.0,Ed9QHqezwFIe220167,9h58LvZerVv
220168,"istanbul, n/a, turkey",20.0,Mj6BPe19cU5F220168,j#TePnIdgNlEd
220169,"aberystwyth, wales, united kingdom",,6gsMNRyru2VJ220169,EM9XorcEpm86n
220170,"hamilton, ontario, canada",57.0,9h34AUaQBDt5220170,bNFO##6Gr4
220171,"modena, emilia romagna, italy",,cincDN7PwfxA220171,wJcDojLe7
220172,"pesaro / pisa, marche/toscana, italy",26.0,49RSHStTm5Cn220172,LrhR6MGmB4gK
220173,"plantation, florida, usa",,Eg78yN5mJRw2220173,GDgGY5bWu#
220174,"olympia, washington, usa",25.0,WPNebrAjQ8YE220174,hV299kXQU
220175,"arlington, virginia, usa",,11C4VrHot249220175,BH7rK15yv9Jd
220176,"uppsala, uppsala, sweden",55.0,czxAIjUQ3Ngj220176,yJmikGB8cHY7U
220177,"san martin, buenos aires, argentina",24.0,mcmSfi19Pxu8220177,Bchf6mDX6u
220178,"madrid, madrid, spain",39.0,nXA8XvISpVhG220178,KtNHCFmf2p
220179,"santa cruz de tenerife, santa cruz de tenerife, spain",25.0,FNzbWg9VGLLI220179,7ox2Xk9rJres
220180,"prato, toscana, italy",,FDlKKxUfvhfJ220180,pBTVYfYVPVp7
220181,"lys, n/a, france",21.0,zQb7xi3JcPEB220181,E5nGU9Pe18Y
220182,"monflanquin, lot-et-garonne, france",33.0,f5YpsqjSye2p220182,M1pVjmF456
220183,"meyrin, geneva, switzerland",54.0,4sAeda8kascs220183,DhZ@wZmjGGOY
220184,"matapozuelos, valladolid, spain",19.0,eRFLM6LEd9ER220184,NWg2l7DzPv
220185,"valladolid, valladolid, spain",30.0,ZuOyfhK3sgW1220185,@fTTJEqOUNZ
220186,"san jose, n/a, costa rica",19.0,konHYVK96Go3220186,XeHeqM4VU
220187,"capital federal, capital federal, argentina",24.0,ysHivawuKizE220187,NkcikhKwmW6Q
220188,"zamora, n/a, spain",20.0,ON191DEBSs45220188,xja7gSfsAlj
220189,"guadalajara, jalisco, mexico",41.0,PeuIq9B35wle220189,IdBH2bpbw
220190,"aurora, colorado, usa",30.0,ADVcVTCYZMVt220190,p8ociTp@1T#
220191,"41747 viersen, nordrhein-westfalen, germany",33.0,HVV3CGY6n7FG220191,QyZg9Nbku
220192,"fuquay varina, north carolina, usa",,y2e2nJqj8jDD220192,zbO9m4LOzM
220193,"lleida, catalunya, spain",28.0,ARNTFLAoH2zQ220193,sDdyF23A3WUQ#
220194,"arafo, tenerife, spain",48.0,Ry6LNXLOYVQT220194,d3ZWOMNrQg5#l
220195,"igualada, barcelona, spain",33.0,DAQ8FqvTTnnD220195,umDu19@HONN
220196,"vilanova i la geltru, catalunya, spain",42.0,Ik3UiK9FFq12220196,HeaMCDw9GkRI
220197,"nürnberg, bayern, germany",30.0,24S4ROVYzjAD220197,61dOGyGiQ
220198,"barcelona, barcelona, spain",0.0,CsqyGo5mwapS220198,R9D7CwZkZ
220199,"santo domingo, n/a, dominican republic",26.0,LeRlz7EwnNWr220199,gfPwMuEA5SXk
220200,"lisbon, n/a, portugal",31.0,wdz6nrsrPDWx220200,MSS2LZAvRhU
220201,"olympia, washington, usa",25.0,LJLFG6GPcXZn220201,B7yaw@BZf4vr
220202,"tucson, arizona, usa",65.0,EDU5y6EZjAiU220202,bzmtXpCvBK
220203,"porto, n/a, portugal",23.0,wXrU6znsHhm3220203,HF2RxsaQT
220204,"apo, po, usa",31.0,H2Tl7pHcX3ti220204,5@juvGqjWO
220205,"rio de janeiro, rio de janeiro, brazil",40.0,nEfCseRAw6mh220205,ZZWFcf@zV
220206,"madrid, madrid, spain",29.0,7QoFYIMsNLsN220206,93wwzzq7CqW
220207,"london, england, united kingdom",61.0,LXO511GN2Zt5220207,8PIjRuOOfPm
220208,"sevilla, sevilla, spain",34.0,OaM4SbgdCfEN220208,sQ1AaYmpvM
220209,"caceres, caceres, spain",25.0,jvdMDmDMvvoi220209,N6htI9ItzfC
220210,"hyderabad, n/a, india",21.0,zq9VtYOgOnWr220210,zjr4NOYbA5ze
220211,"porto do son, a coruña, spain",28.0,Bg674wyb3Pdw220211,kMxSFrHltxu
220212,"seattle, washington, usa",24.0,3FkjVCzUsUAV220212,9Hp7W8VGd
220213,"madrid, madrid, spain",50.0,OpawPEAIvLGx220213,LrrGOWG2C
220214,"madrid, \n/a\"", spain""",50.0,LCDd3HvyHhiJ220214,#jwiAXIhEd
220215,"machang, kelantan, malaysia",,uz5bcI94oUx2220215,LSd3fa5fvFhWw
220216,"vantaa, vantaa, finland",,mgsxpv1MMtFd220216,OIIcQ28QJ
220217,"huhhot, inner mongolia, china",44.0,L5Pu3qLcpIPL220217,ZaUGTBZBK4HnB
220218,"lethbridge, alberta, canada",61.0,JvXDw1IfhlF3220218,lWmgplyZz
220219,"newcastle upon tyne, england, united kingdom",,7sJaOojJO22l220219,LzV@UEEZK
220220,"ourense, ourense, spain",27.0,Dx44sfrpTv33220220,vdeKrEn5NfD
220221,"a coruña, connecticut, spain",36.0,ECJe72M3JRlm220221,Mp5@XfTBg#
220222,"woodbridge, virginia, usa",33.0,NzEmCjgtCzlu220222,tkmVFrdMv7W2P
220223,"mumbai, maharashtra, india",39.0,VLE79rXT8bFA220223,oa8FXWHT@o1#
220224,"burgos, castilla-león, spain",22.0,cAyQCoRXnchp220224,gdf9iHhfX6
220225,"caracas, distrito federal, venezuela",58.0,RVYG6tilxKc5220225,@kDqPG@iZX
220226,"toronto, ontario, canada",,lOHG8lhscqVs220226,N1JF6i#m9J8Xl
220227,"montcada i reixac, cataluña, spain",34.0,6l8GkchqTyhs220227,DL4RIedtL1
220228,"auckland, north island, new zealand",14.0,4JHBbweGlGFg220228,2Dc@yi#fcL
220229,"kaiserslautern, rheinland-pfalz, germany",20.0,aIOvaUK6O4f4220229,mGoWdTR3lK
220230,"magdeburg, sachsen-anhalt, germany",24.0,13t76o2APzRk220230,eObhb7tMKWN
220231,"brcko, arizona, bosnia and herzegovina",,shuFr64VxBih220231,a3w3DBSfZ
220232,"freeport, illinois, usa",51.0,1lZ1Yuw2XKrp220232,bNgKHb54PC
220233,"shenzhen, colorado, china",21.0,NnxyFOC42P8B220233,4MQWzJVRqIR
220234,"grand rapids, michigan, usa",,y7FTBc6RlCR9220234,gGJESRNNUVHPT
220235,"barcelona, barcelona, spain",33.0,SyPdqOp8JZe8220235,r7xckB85htj7
220236,"mexico city, n/a, mexico",39.0,UMUayHwvAd3j220236,FQbBnqK#r
220237,"gumpelstadt, thueringen, germany",17.0,4E7kYVLoYYSA220237,g#s@#voGaB
220238,"rotenburg an der fulda, hessen, germany",,q6VOVEBikjRX220238,d7uG98Djgy
220239,"bonn, nordrhein-westfalen, germany",37.0,LuKUQ4WnAEpw220239,S6ahtTYXw1sx
220240,"roanoke, texas, usa",34.0,kdHsYsewBDZt220240,U9qBJZq47S
220241,"portland, oregon, usa",39.0,3BR2MpJZVpCO220241,AoYSq9Sr2dauc
220242,"cresson, pennsylvania, usa",,kGMnGFjNnpMb220242,Z4DF1VU19ca@
220243,"karlsruhe, baden-wuerttemberg, germany",,FEusLwkwSu2a220243,wL2SRbjuxjFk6
220244,"sorocaba, n/a, brazil",35.0,onIc39KkYea3220244,4GXEtgI#W
220245,"brasilia, df, brazil",35.0,5GByptFULFHQ220245,jcAekg3LHTrl
220246,"boulder, colorado, usa",25.0,ayovdOGyZ5fk220246,uHhPXfaw92eH8
220247,"trapobana, trapobana, sri lanka",25.0,Et3LKSKNWQXE220247,c4d68wkAN
220248,"paris, n/a, france",20.0,FATehCFD2r9p220248,JNrv2OXmrJdU
220249,"exmouth, england, united kingdom",20.0,WnC3XTGmUVyL220249,JuUOKTHZd4W
220250,"brescia, lombardia, italy",,tKkpKE7GdQ2o220250,W@@kbFU5Ee
220251,"barcelona, barcelona, spain",,3iiKM1pRsR8g220251,IKGuNYq@7
220252,"osnabrueck, niedersachsen, germany",26.0,TYGw3HUNQhZM220252,ws3MuMW33OFsI
220253,"london, england, united kingdom",29.0,tCb525CeAkvV220253,VzvaGoLPNe
220254,"trento, trento, italy",,Iek3IAYiV8WE220254,go7XdMc7GzHk6
220255,"rome, n/a, italy",,tSMIRpyOntFT220255,@gaeYMNGHGq
220256,"mainz, rheinland-pfalz, germany",33.0,lBLVnEgZDAC8220256,SM#d@SUS#
220257,"carrollton, texas, usa",40.0,uWEdw4YBfCRT220257,YpQFED1NOGQW
220258,"poznan, wielkopolska, poland",31.0,eoBmpzSJHovc220258,g6gJbdF7K
220259,"rennes, bretagne, france",23.0,F3SyyZN5hTpK220259,GBQey6FHOPNhQ
220260,"helsinki, n/a, finland",,7vY14JmQy6wI220260,hXg8UtsxTzR7
220261,"mornington peninsula, victoria, australia",25.0,XdgQhpJu9ETQ220261,ASlB9vLsBV
220262,"gambier, ohio, usa",,II4LWF2WldCd220262,g#PUzpMfZG
220263,"crystal, minnesota, usa",,4cqK3nFnlUtL220263,pm7gsV3zs4E
220264,"berlin, berlin, germany",42.0,CVQ9MkYiA9Ks220264,d9UBc55Jtm
220265,"goettingen, niedersachsen, germany",,FwP58ZBsIw2F220265,8@Lyq9dR71
220266,"uppsala, upplands, sweden",,kd8341yScuJb220266,b5xPMrOf5Nz
220267,"london, n/a, united kingdom",,iD5OiOeMfny7220267,4wYssrkrVNm
220268,"uniontown, pennsylvania, usa",47.0,xnX2aZOH94Zh220268,C4UhH7s8B7uk
220269,"denver, colorado, usa",33.0,1lkSmcyWXJPz220269,JAWrm2PJr
220270,"germany, nw, germany",,Wn3d9wYGGiRo220270,RxzA6gpJwxs5M
220271,"halifax, nova scotia, canada",,At7dHmjbz8m6220271,ki6F7VEoDc7OK
220272,"rostock, mecklenburg-vorpommern, germany",27.0,DYxTm9yAv658220272,@#LNWxO6zUYRL
220273,"chicago, illinois, usa",43.0,yCqV2e8JXBHO220273,c6TXYWGp8
220274,"kitchener, ontario, canada",21.0,Vc3FCRpCML54220274,ujtVxMdBaM
220275,"bridgnorth, england, united kingdom",,LT7DapcYcgLk220275,HRIRAlMlVX
220276,"washington, d.c., dc, usa",54.0,HOiW2xFyMUfe220276,IIeHpqJ2Rsk
220277,"st. louis, missouri, usa",26.0,thcsmYtsc5Z9220277,z9NQxKXDE
220278,"hammond, indiana, usa",32.0,lL9BUv77OqEf220278,qiafljWJ4A
220279,"zurich, zurich, switzerland",28.0,i5G46Hf9yRBL220279,Gpr9Os3qmBTJe
220280,"szeged, csongrád, hungary",20.0,un7PEWbuT53x220280,zJ3tQbruHR
220281,"san francisco, california, usa",,NPnFzO2k4lDn220281,bSi@iT6Duo
220282,"santa cruz de tenerife, santa cruz de tenerife, spain",26.0,OlYQR7rbVPEr220282,JatCUY3xik
220283,"fort wayne, indiana, usa",28.0,L5JnXLZYr5qD220283,lt9jCvYt3@
220284,"london, n/a, united kingdom",35.0,tdEhmgvGaZMd220284,ANC3@hGb9t
220285,"winnipeg, manitoba, canada",,YILHuCJqBg1J220285,#kfU5kuoz
220286,"milano, lombardia, italy",,GdpZxUPkcHAL220286,#RsFLeDCr#J#K
220287,"valladolid, valladolid, spain",27.0,aDmJgPpABSen220287,Oo6zH17epJ
220288,"pelham, alabama,",,ojja5LzCjavY220288,iS5akZO2Dzu
220289,"ketchum, idaho, usa",,7biFJhz4Ku96220289,RsU@etnZkl
220290,"barcelona, catlunya, spain",28.0,1zxeS5hyMiH7220290,kdQ7I44tdkJ
220291,"effingham, illinois, usa",24.0,V1OOMxoXYawT220291,zYBVd2#3sQ
220292,"east amherst, new york, usa",35.0,HF5VydZEks9J220292,4botjkomSKCu
220293,"witney, england, united kingdom",57.0,4RphJo166Yan220293,eWYDain@bI8SX
220294,"narni, umbria, italy",,rGNI6cZK6Y6u220294,8gEMAxbHuK
220295,"milwaukee, wisconsin, usa",14.0,lKbaoC5WXVZI220295,Jbh8XdkTxGH
220296,"chesterfield, england, united kingdom",12.0,icsd5oN6judQ220296,sJZU3YIRQ
220297,"berkeley, california, usa",,HKudGOVN8Cln220297,Z@Evbpxts2
220298,"farnborough, england, united kingdom",33.0,6IfeJ9D6X7hd220298,lgKA433er
220299,"mankato, minnesota, usa",43.0,5GwbFLk8Mzjr220299,ibphHwsuV
220300,"rogersville, missouri, usa",39.0,pRGcllnf3OkV220300,RCTerHcIEd8IF
220301,"bronx, new york, usa",43.0,4skMnAblDjMq220301,ZrcBVRlTu3
220302,"torino, piemonte, italy",25.0,oDEKJee92Dee220302,GMAX5@mfBiO
220303,"norwich, england, united kingdom",,Vft2WWYzTv1Y220303,6VJcTDV81pK
